path,label
/data/dataset/coin/step_videos/603/Y4J7Bn-P1Ag_0.mp4,603
/data/dataset/coin/step_videos/603/-djWPMSfpZM_1.mp4,603
/data/dataset/coin/step_videos/603/WjfiCkPCD68_0.mp4,603
/data/dataset/coin/step_videos/603/-0X2mXPy3Mc_0.mp4,603
/data/dataset/coin/step_videos/603/MyqkLil7KQo_0.mp4,603
/data/dataset/coin/step_videos/603/tOL40qUErRg_0.mp4,603
/data/dataset/coin/step_videos/603/ow7-g8nUPLs_0.mp4,603
/data/dataset/coin/step_videos/603/fhrXxUj3T2o_0.mp4,603
/data/dataset/coin/step_videos/603/Q-UgQDoFyvw_2.mp4,603
/data/dataset/coin/step_videos/475/2KzYmWG9rXg_6.mp4,475
/data/dataset/coin/step_videos/475/w5gTlJOiE7o_10.mp4,475
/data/dataset/coin/step_videos/625/57ryD89Ez9c_0.mp4,625
/data/dataset/coin/step_videos/625/EFlYhMrnKHE_0.mp4,625
/data/dataset/coin/step_videos/625/Lsw_yFxQRY4_0.mp4,625
/data/dataset/coin/step_videos/625/ibwBr3b0hus_1.mp4,625
/data/dataset/coin/step_videos/625/ZPck6tDEQbk_0.mp4,625
/data/dataset/coin/step_videos/625/E__kMjcp0XM_0.mp4,625
/data/dataset/coin/step_videos/625/IH5XVmBFYh8_1.mp4,625
/data/dataset/coin/step_videos/625/CcwpI3Zg7H0_0.mp4,625
/data/dataset/coin/step_videos/625/J5coAtYujdQ_1.mp4,625
/data/dataset/coin/step_videos/625/Xp9V5Ygotc4_1.mp4,625
/data/dataset/coin/step_videos/625/v0QUFaPvuAA_0.mp4,625
/data/dataset/coin/step_videos/625/9O63JaEPrTA_0.mp4,625
/data/dataset/coin/step_videos/625/iP1lRtMTOB8_0.mp4,625
/data/dataset/coin/step_videos/625/cmX33oKieN8_0.mp4,625
/data/dataset/coin/step_videos/625/0DVdkVPUQr4_0.mp4,625
/data/dataset/coin/step_videos/625/mNhyufrdeE8_0.mp4,625
/data/dataset/coin/step_videos/625/OUdgMe8K_rc_0.mp4,625
/data/dataset/coin/step_videos/625/lS0mgPabVaw_1.mp4,625
/data/dataset/coin/step_videos/625/3cb1NrXXKRQ_1.mp4,625
/data/dataset/coin/step_videos/625/rYLv6sWwCis_0.mp4,625
/data/dataset/coin/step_videos/625/8TYdmok3D1k_0.mp4,625
/data/dataset/coin/step_videos/625/pfAhHZQpenM_1.mp4,625
/data/dataset/coin/step_videos/625/lNwok1H6G8g_0.mp4,625
/data/dataset/coin/step_videos/625/c8FXrF9UDIQ_0.mp4,625
/data/dataset/coin/step_videos/625/VQWNjVh3sCQ_0.mp4,625
/data/dataset/coin/step_videos/625/lsdHGVr2M1s_1.mp4,625
/data/dataset/coin/step_videos/625/5KpR7i27Tlw_0.mp4,625
/data/dataset/coin/step_videos/625/AT52uHnbOZM_1.mp4,625
/data/dataset/coin/step_videos/625/0AgOINsF6qU_0.mp4,625
/data/dataset/coin/step_videos/625/n_8NE0j26F0_0.mp4,625
/data/dataset/coin/step_videos/625/Ao3q2qBOPtI_0.mp4,625
/data/dataset/coin/step_videos/625/vtIeZDeOfoo_0.mp4,625
/data/dataset/coin/step_videos/625/v0QUFaPvuAA_2.mp4,625
/data/dataset/coin/step_videos/625/zTX2dXJekx0_0.mp4,625
/data/dataset/coin/step_videos/625/wKCPiSnYqwA_0.mp4,625
/data/dataset/coin/step_videos/625/rPTLcEBI5Fc_0.mp4,625
/data/dataset/coin/step_videos/625/Ul8rKFYZW08_0.mp4,625
/data/dataset/coin/step_videos/575/bA3fyFTwJLA_2.mp4,575
/data/dataset/coin/step_videos/575/Jm_sLM8bBKM_1.mp4,575
/data/dataset/coin/step_videos/575/Xo_kkiSZrZ8_1.mp4,575
/data/dataset/coin/step_videos/575/uCtImBV_N4E_2.mp4,575
/data/dataset/coin/step_videos/575/5XWJIhX_KTM_1.mp4,575
/data/dataset/coin/step_videos/575/mGJO5VFtAGM_2.mp4,575
/data/dataset/coin/step_videos/582/IT5iMqahiOY_0.mp4,582
/data/dataset/coin/step_videos/582/fFVyzXBs1kQ_13.mp4,582
/data/dataset/coin/step_videos/582/6Uip8riRXSo_0.mp4,582
/data/dataset/coin/step_videos/582/Lkzanaj5JTU_1.mp4,582
/data/dataset/coin/step_videos/582/0R5wAQ93N_o_3.mp4,582
/data/dataset/coin/step_videos/582/3FGxEYWAPf8_1.mp4,582
/data/dataset/coin/step_videos/582/nZJCni5mNtU_0.mp4,582
/data/dataset/coin/step_videos/582/kAatGbQa7u4_0.mp4,582
/data/dataset/coin/step_videos/582/ruXaqx4KiFU_1.mp4,582
/data/dataset/coin/step_videos/582/fFVyzXBs1kQ_9.mp4,582
/data/dataset/coin/step_videos/582/8AoZY_826JY_0.mp4,582
/data/dataset/coin/step_videos/582/ohLUwGX26uY_1.mp4,582
/data/dataset/coin/step_videos/582/TDI-fdYxCf8_1.mp4,582
/data/dataset/coin/step_videos/582/Zk07nWdGAFA_1.mp4,582
/data/dataset/coin/step_videos/582/OvWQ9Q0HWWo_0.mp4,582
/data/dataset/coin/step_videos/582/sCnJNUPHK8Y_1.mp4,582
/data/dataset/coin/step_videos/582/F5JeSnLF_N0_2.mp4,582
/data/dataset/coin/step_videos/582/ZJBz-ShP0tU_3.mp4,582
/data/dataset/coin/step_videos/582/DMuIUqts-qE_2.mp4,582
/data/dataset/coin/step_videos/582/UVUxBtgIGGs_0.mp4,582
/data/dataset/coin/step_videos/582/I7ADgRr1umY_2.mp4,582
/data/dataset/coin/step_videos/582/oztdEZ-Vcb0_2.mp4,582
/data/dataset/coin/step_videos/582/ci3maurDGcE_0.mp4,582
/data/dataset/coin/step_videos/582/Zb9lQGhVv30_1.mp4,582
/data/dataset/coin/step_videos/582/pYfcsc3Sp_4_0.mp4,582
/data/dataset/coin/step_videos/582/GOY2T_7bx-A_1.mp4,582
/data/dataset/coin/step_videos/582/rsgwlgtFQpM_0.mp4,582
/data/dataset/coin/step_videos/582/AGYe6OLS2gE_0.mp4,582
/data/dataset/coin/step_videos/582/_MC-7EW7IKo_0.mp4,582
/data/dataset/coin/step_videos/582/L5kJHhIIgbc_1.mp4,582
/data/dataset/coin/step_videos/582/SgVFQEeLubw_0.mp4,582
/data/dataset/coin/step_videos/582/_w9ThbrQCb4_2.mp4,582
/data/dataset/coin/step_videos/582/iImxpOz9tjU_2.mp4,582
/data/dataset/coin/step_videos/582/y8aCIyuyxG8_0.mp4,582
/data/dataset/coin/step_videos/582/5H7rd1v7Yrk_1.mp4,582
/data/dataset/coin/step_videos/582/fFVyzXBs1kQ_3.mp4,582
/data/dataset/coin/step_videos/582/YAL6H5SgNAs_0.mp4,582
/data/dataset/coin/step_videos/582/fFVyzXBs1kQ_6.mp4,582
/data/dataset/coin/step_videos/582/sKmt6oNr0Fw_1.mp4,582
/data/dataset/coin/step_videos/582/8rQBQnwxY5o_2.mp4,582
/data/dataset/coin/step_videos/582/fFVyzXBs1kQ_14.mp4,582
/data/dataset/coin/step_videos/582/54v0IRwl_uw_0.mp4,582
/data/dataset/coin/step_videos/582/c9AQHabMPts_1.mp4,582
/data/dataset/coin/step_videos/582/kBedwKpuW10_0.mp4,582
/data/dataset/coin/step_videos/582/ndqMyI8mxnA_0.mp4,582
/data/dataset/coin/step_videos/582/KAnBRysoEN0_2.mp4,582
/data/dataset/coin/step_videos/582/dyiF2sbtqgg_1.mp4,582
